기준일,ARS-ID,정류소명_x,Unnamed: 3,마을,간선,지선,순환,NODE_ID,X좌표,Y좌표,정류소타입
2025-07-02,4121,도선사거리,,0,5,2,0,103000022,127.036954,37.56702082,일반차로
2025-07-02,4122,도선사거리,,0,5,2,0,103000023,127.0364846,37.56664878,일반차로
2025-07-02,4123,마장동금호아파트,,0,1,1,0,103000024,127.041859,37.56307133,일반차로
2025-07-02,4124,마장동금호아파트,,0,1,1,0,103000025,127.0415812,37.56215772,일반차로
2025-07-02,4125,한양대부속고등학교,,0,1,1,0,103000026,127.0414132,37.5609241,일반차로
2025-07-02,4126,한양대부속고등학교,,0,1,1,0,103000027,127.0411546,37.56038812,일반차로
2025-07-02,4127,한양대앞.한양시장,,0,1,2,0,103000028,127.0409668,37.5585824,일반차로
2025-07-02,4128,한양대앞,,0,0,2,0,103000029,127.0406535,37.55852546,일반차로
2025-07-02,4129,한양대정문,,0,4,4,0,103000030,127.0431286,37.55638837,일반차로
2025-07-02,4130,한양대정문앞,,0,4,4,0,103000031,127.0431384,37.5569939,가로변전일
2025-07-02,4131,무학여고앞,,0,6,2,0,103000032,127.0342332,37.557854,일반차로
2025-07-02,4132,무학여고,,0,7,2,0,103000033,127.0338673,37.55789531,일반차로
2025-07-02,4133,왕십리역,,0,3,5,0,103000034,127.036192,37.55994731,일반차로
2025-07-02,4134,왕십리역,,0,3,4,0,103000035,127.0362669,37.56033656,가로변시간
2025-07-02,4135,왕십리역,,0,1,2,0,103000036,127.0346873,37.56072354,일반차로
2025-07-02,4136,행당1동주민센터.성동소방서,,0,3,5,0,103000037,127.038404,37.55826718,일반차로
2025-07-02,4137,서울숲삼부아파트,,0,3,5,0,103000038,127.0379493,37.55872308,일반차로
2025-07-02,4138,응봉동주민센터,,0,3,2,0,103000039,127.0335008,37.55339896,일반차로
2025-07-02,4139,응봉동주민센터,,0,3,2,0,103000040,127.0334387,37.55376121,일반차로
2025-07-02,4140,응봉사거리,,0,7,2,0,103000041,127.034458,37.55529188,일반차로
2025-07-02,4141,응봉동현대아파트,,0,3,2,0,103000042,127.0305745,37.54973246,일반차로
2025-07-02,4142,응봉동현대아파트,,0,3,2,0,103000043,127.0309,37.550222,일반차로
2025-07-02,4143,대현산배수지공원입구,,1,0,2,0,103000044,127.0200357,37.556474,일반차로
2025-07-02,4145,신금호역,,0,0,2,0,103000046,127.0201176,37.55560517,일반차로
2025-07-02,4146,신금호역,,1,0,2,0,103000047,127.0199214,37.55567687,일반차로
2025-07-02,4147,금호고등학교,,0,0,2,0,103000048,127.0219551,37.55347807,일반차로
2025-07-02,4148,금호고등학교.금호자이1차아파트입구,,0,0,2,0,103000049,127.0229329,37.55310773,일반차로
2025-07-02,4149,금호동벽산아파트,,1,0,2,0,103000050,127.0256791,37.5511644,일반차로
2025-07-02,4150,래미안하이리버아파트,,1,0,2,0,103000051,127.0254234,37.55145821,일반차로
2025-07-02,4151,금호사거리,,1,0,2,0,103000052,127.0260631,37.54887914,일반차로
2025-07-02,4152,금호사거리,,1,0,2,0,103000053,127.0259773,37.54946397,일반차로
2025-07-02,4153,금남시장앞.백범학원터,,0,3,4,0,103000054,127.0218686,37.54808522,일반차로
2025-07-02,4154,금남시장앞.백범학원터,,0,3,4,0,103000055,127.0224878,37.54828876,일반차로
2025-07-02,4155,금호역,,0,2,0,0,103000056,127.016267,37.54772837,일반차로
2025-07-02,4156,금호역,,0,2,0,0,103000057,127.0154795,37.54854771,일반차로
2025-07-02,4157,금옥초등학교앞,,1,3,4,0,103000058,127.0198923,37.54696731,일반차로
2025-07-02,4158,금옥초등학교앞,,0,3,4,0,103000059,127.0182356,37.5462572,일반차로
2025-07-02,4159,힐스테이트서울숲리버아파트,,0,3,2,0,103000060,127.0270576,37.54788771,일반차로
2025-07-02,4160,삼성래미안아파트앞,,0,3,2,0,103000061,127.0275127,37.54834987,일반차로
2025-07-02,4161,옥수삼성아파트.래미안옥수리버젠,,0,2,4,0,103000062,127.0148476,37.54362049,일반차로
2025-07-02,4162,옥수삼성아파트.래미안옥수리버젠,,0,2,4,0,103000063,127.0146552,37.54380343,일반차로
2025-07-02,4163,미타사입구,,0,2,3,0,103000064,127.0168373,37.54485562,일반차로
2025-07-02,4164,래미안옥수리버젠.옥수중앙교회,,1,1,0,0,103000065,127.0148446,37.54591558,일반차로
2025-07-02,4165,래미안옥수리버젠.옥수중앙교회,,1,1,0,0,103000066,127.014698,37.545782,가로변전일
2025-07-02,4166,옥수파크힐스아파트앞,,1,1,0,0,103000506,127.0130389,37.54711609,일반차로
2025-07-02,4167,옥수파크힐스아파트앞,,1,1,0,0,103000507,127.013016,37.54702043,일반차로
2025-07-02,4168,옥수동종점,,0,1,0,0,103000069,127.0125833,37.54933748,일반차로
2025-07-02,4169,옥정중학교입구,,1,2,1,0,103000070,127.0113027,37.54090407,일반차로
2025-07-02,4170,옥정중학교입구,,1,2,1,0,103000071,127.0109995,37.54087707,일반차로
2025-07-02,4171,성수1가1동새마을금고,,0,0,4,0,103000072,127.0495477,37.53822046,일반차로
2025-07-02,4172,성수1가새마을금고,,0,0,4,0,103000073,127.0495105,37.5383307,일반차로
2025-07-02,4173,천주교성수동성당앞,,0,0,4,0,103000074,127.0461394,37.53937047,일반차로
2025-07-02,4174,천주교성수동성당앞,,0,0,4,0,103000075,127.046074,37.53930553,일반차로
2025-07-02,4175,뚝도아리수정수센터수도박물관,,0,0,4,0,103000076,127.0442026,37.54097724,일반차로
2025-07-02,4176,뚝도아리수정수센터수도박물관,,0,0,4,0,103000077,127.04399,37.541407,일반차로
2025-07-02,4177,서울숲역2번출구,,0,1,3,0,103000078,127.0447086,37.54293173,일반차로
